2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"MA  123RL",TR,1100AM,1150AM,,BC,321,RCT
2019S,"MA  123RM",TR,1100AM,1150AM,,X,218B,RCT
2019S,"MA  123RN",T,1100AM,1150AM,,E,229A,RCT
2019S,"MA  123RN",R,1100AM,1150AM,,NB,105,RCT
2019S,"MA  123RO",TR,1100AM,1150AM,,BC,219,RCT
2019S,"MA  123RP",TR,1230PM,0120PM,,B,514,RCT
2019S,"MA  123RQ",TR,1230PM,0120PM,,BC,304,RCT
2019S,"MA  123RS",TR,1230PM,0120PM,,C,315,RCT
2019S,"MA  123RT",TR,1230PM,0120PM,,X,105,RCT
2019S,"MA  123RU",TR,1230PM,0120PM,,P,116,RCT
2019S,"MA  124AA",MWF,0900AM,0950AM,,K,360,LEC
2019S,"MA  124BB",MWF,0900AM,0950AM,,C,315,LEC
2019S,"MA  124CC",MWF,0900AM,0950AM,,NB,105,LEC
2019S,"MA  124DD",MWF,0900AM,0950AM,,X,218A,LEC
2019S,"MA  124EE",MWF,1000AM,1050AM,,P,116,LEC
2019S,"MA  124FF",MWF,1000AM,1050AM,,M,103,LEC
2019S,"MA  124GG",MWF,1000AM,1050AM,,BC,321,LEC
2019S,"MA  124HH",MWF,1200PM,1250PM,,P,116,LEC
2019S,"MA  124II",MWF,1200PM,1250PM,,K,360,LEC
2019S,"MA  124JJ",MWF,1200PM,1250PM,,BC,321,LEC
2019S,"MA  124KK",MWF,0100PM,0150PM,,K,360,LEC
2019S,"MA  124LL",MWF,0100PM,0150PM,,X,218B,LEC
2019S,"MA  124RAA",TR,0800AM,0850AM,,BC,219,RCT
2019S,"MA  124RBB",TR,0800AM,0850AM,,BC,221,RCT
2019S,"MA  124RCC",TR,0800AM,0850AM,,,,RCT
2019S,"MA  124RDD",TR,0800AM,0850AM,,BC,310,RCT
2019S,"MA  124REE",TR,0930AM,1020AM,,C,315,RCT
2019S,"MA  124RFF",TR,0930AM,1020AM,,C,316,RCT
2019S,"MA  124RGG",TR,0930AM,1020AM,,P,220,RCT
2019S,"MA  124RHH",TR,0930AM,1020AM,,BC,219,RCT
2019S,"MA  124RII",TR,0930AM,1020AM,,BC,221,RCT
2019S,"MA  124RJJ",TR,0930AM,1020AM,,NB,105,RCT
2019S,"MA  124RKK",TR,1100AM,1150AM,,X,218A,RCT
2019S,"MA  124RLL",TR,1100AM,1150AM,,BC,321,RCT
2019S,"MA  124RMM",TR,1100AM,1150AM,,X,218B,RCT
2019S,"MA  124RNN",T,1100AM,1150AM,,E,229A,RCT
2019S,"MA  124RNN",R,1100AM,1150AM,,NB,105,RCT
2019S,"MA  124ROO",TR,1100AM,1150AM,,BC,219,RCT
2019S,"MA  124RPP",TR,1230PM,0120PM,,B,514,RCT
2019S,"MA  124RQQ",TR,1230PM,0120PM,,BC,304,RCT
2019S,"MA  124RSS",TR,1230PM,0120PM,,C,315,RCT
2019S,"MA  124RTT",TR,1230PM,0120PM,,X,105,RCT
2019S,"MA  124RUU",TR,1230PM,0120PM,,P,116,RCT
2019S,"MA  134A",MWF,1100AM,1150AM,,P,116,LEC
2019S,"MA  188A",M,1200PM,1250PM,,B,430,SEM
2019S,"MA  221A",MWF,0900AM,0950AM,,P,116,LEC
2019S,"MA  221B",MWF,1000AM,1050AM,,X,218A,LEC
2019S,"MA  221C",MWF,1000AM,1050AM,,X,218B,LEC
2019S,"MA  221D",MF,1100AM,1150AM,,X,218A,LEC
2019S,"MA  221D",W,1100AM,1150AM,,BC,321,LEC
2019S,"MA  221E",MF,1100AM,1150AM,,M,103,LEC
2019S,"MA  221E",W,1100AM,1150AM,,BC,319,LEC
2019S,"MA  221F",MWF,1200PM,1250PM,,NB,105,LEC
2019S,"MA  221G",MWF,0100PM,0150PM,,P,116,LEC
2019S,"MA  221H",MWF,0200PM,0250PM,,P,116,LEC
2019S,"MA  221RA",T,0930AM,1045AM,,M,205,RCT
2019S,"MA  221RB",T,0930AM,1045AM,,X,218B,RCT
2019S,"MA  221RC",T,0930AM,1045AM,,M,105,RCT
2019S,"MA  221RD",T,1100AM,1215PM,,BC,320,RCT
2019S,"MA  221RE",T,1100AM,1215PM,,X,414,RCT
2019S,"MA  221RF",T,1100AM,1215PM,,X,105,RCT
2019S,"MA  221RG",T,1230PM,0145PM,,BC,219,RCT
2019S,"MA  221RH",T,1230PM,0145PM,,BC,221,RCT
2019S,"MA  221RI",T,1230PM,0145PM,,M,105,RCT
2019S,"MA  221RJ",T,0200PM,0315PM,,X,218B,RCT
2019S,"MA  221RK",T,0200PM,0315PM,,X,414,RCT
2019S,"MA  221RL",T,0330PM,0445PM,,P,220,RCT
2019S,"MA  221RM",T,0330PM,0445PM,,,,RCT
2019S,"MA  222A",M,0900AM,0950AM,,BC,104,LEC
2019S,"MA  222A",W,0900AM,0950AM,,BC,122,LEC
2019S,"MA  222A",F,0900AM,0950AM,,K,228,LEC
2019S,"MA  222B",MWF,1200PM,1250PM,,E,222,LEC
2019S,"MA  227A",MWF,1000AM,1050AM,,P,120,LEC
2019S,"MA  227B",MWF,1100AM,1150AM,,NB,105,LEC
2019S,"MA  227C",MWF,0100PM,0150PM,,E,222,LEC
2019S,"MA  227RA",R,0930AM,1020AM,,P,216,RCT
2019S,"MA  227RB",R,1100AM,1150AM,,BC,220,RCT
2019S,"MA  227RC",R,1100AM,1150AM,,P,220,RCT
2019S,"MA  227RD",R,1230PM,0120PM,,BC,221,RCT
2019S,"MA  227RE",R,0200PM,0250PM,,M,205,RCT
2019S,"MA  227RF",R,0330PM,0420PM,,BC,321,RCT
2019S,"MA  230A",MW,0100PM,0215PM,,P,120,LEC
2019S,"MA  232A",TR,1230PM,0145PM,,K,360,LEC
2019S,"MA  234A",TR,1230PM,0145PM,,E,231,LEC
2019S,"MA  236A",TR,0200PM,0315PM,,M,103,LEC
2019S,"MA  240A",MW,0100PM,0215PM,,E,229A,LEC
2019S,"MA  293A",MWF,0900AM,0950AM,,P,116,LEC
2019S,"MA  293B",MWF,1000AM,1050AM,,X,218A,LEC
2019S,"MA  293D",MF,1100AM,1150AM,,X,218A,LEC
2019S,"MA  293D",W,1100AM,1150AM,,BC,321,LEC
2019S,"MA  293F",MWF,1200PM,1250PM,,NB,105,LEC
2019S,"MA  293G",MWF,0100PM,0150PM,,P,116,LEC
2019S,"MA  293H",MWF,0200PM,0250PM,,P,116,LEC
2019S,"MA  294A",MWF,1000AM,1050AM,,P,120,LEC
2019S,"MA  294B",MWF,1100AM,1150AM,,NB,105,LEC
2019S,"MA  294C",MWF,0100PM,0150PM,,E,222,LEC
2019S,"MA  331A",TR,0930AM,1045AM,,P,120,LEC
2019S,"MA  335CA",TBA,,,,,,LEC
2019S,"MA  336A",T,1100AM,1215PM,,E,130,LEC
2019S,"MA  336A",R,1100AM,1215PM,,C,316,LEC
2019S,"MA  346A",TR,0330PM,0445PM,,E,130,LEC
2019S,"MA  361A",TR,0200PM,0315PM,,K,380,LEC
2019S,"MA  499A",TBA,,,,N/A,N/A,PRA
2019S,"MA  499B",TBA,,,,N/A,N/A,PRA
2019S,"MA  502W0",M,0615PM,0845PM,,M,105,LEC
2019S,"MA  502WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MA  548A",R,0630PM,0900PM,,X,119,LEC
2019S,"MA  552A",M,0615PM,0845PM,,B,714,LEC
2019S,"MA  565A",M,0100PM,0215PM,,P,216,LEC
2019S,"MA  565A",W,0100PM,0215PM,,P,218,LEC
2019S,"MA  606A",T,0300PM,0530PM,,K,380,LEC
2019S,"MA  612A",M,0615PM,0845PM,,E,229,LEC
2019S,"MA  623A",W,0630PM,0900PM,,P,120,LEC
2019S,"MA  636A",R,0630PM,0900PM,,E,130,LEC
2019S,"MA  641A",TBA,,,,,,LEC
2019S,"MA  649A",T,0630PM,0900PM,,E,229A,LEC
2019S,"MA  651A",T,0630PM,0900PM,,K,380,LEC
2019S,"MA  661A",M,0130PM,0400PM,,P,218,LEC
2019S,"MA  681A",W,0630PM,0900PM,,E,231,LEC
2019S,"MA  800A",TBA,,,,N/A,N/A,LEC
2019S,"MA  900A",TBA,,,,N/A,N/A,LEC
2019S,"ME  181A",M,0200PM,0250PM,,B,715,SEM
2019S,"ME  225A",WF,0900AM,0950AM,,E,330,LEC
2019S,"ME  225A",M,0900AM,0950AM,,M,103,LEC
2019S,"ME  225B",MWF,1200PM,1250PM,,C,316,LEC
2019S,"ME  234A",MWF,1000AM,1050AM,,C,315,LEC
2019S,"ME  234B",MW,1200PM,1250PM,,X,106,LEC
2019S,"ME  234B",F,1200PM,1250PM,,C,315,LEC
2019S,"ME  322A",T,1000AM,1150AM,,K,360,LEC
2019S,"ME  322B",R,1000AM,1150AM,,K,360,LEC
2019S,"ME  322LA",T,1000AM,1150AM,,ABS,301,LAB
2019S,"ME  322LB",T,1000AM,1150AM,,E,329,LAB
2019S,"ME  322LC",R,1000AM,1150AM,,E,329,LAB
2019S,"ME  322LD",R,1000AM,1150AM,,ABS,301,LAB
2019S,"ME  335A",MWF,1100AM,1150AM,,X,104,LEC
2019S,"ME  335B",MWF,1200PM,1250PM,,X,104,LEC
2019S,"ME  342A",MW,1200PM,1250PM,,BC,122,LEC
2019S,"ME  342A",F,1200PM,1250PM,,M,103,LEC
2019S,"ME  342B",MW,0100PM,0150PM,,BC,203,LEC
2019S,"ME  342B",F,0100PM,0150PM,,M,103,LEC
2019S,"ME  345A",F,1200PM,0150PM,,BC,104,LEC
2019S,"ME  345B",F,0200PM,0350PM,,BC,104,LEC
2019S,"ME  345LA",M,0200PM,0350PM,,E,308,LAB
2019S,"ME  345LB",M,0400PM,0550PM,,E,308,LAB
2019S,"ME  345LC",M,0615PM,0805PM,,E,308,LAB
2019S,"ME  345LD",T,0230PM,0420PM,,E,308,LAB
2019S,"ME  345LE",W,0100PM,0250PM,,E,308,LAB
2019S,"ME  345LF",R,0230PM,0420PM,,E,308,LAB
2019S,"ME  354A",MWF,1100AM,1150AM,,P,120,LEC
2019S,"ME  358A",MWF,0900AM,0950AM,,X,106,LEC
2019S,"ME  358B",MW,1000AM,1050AM,,BC,320,LEC
2019S,"ME  358B",F,1000AM,1050AM,,E,222,LEC
2019S,"ME  358C",MF,1100AM,1150AM,,X,218B,LEC
2019S,"ME  358C",W,1100AM,1150AM,,X,106,LEC
2019S,"ME  358LA",T,1230PM,0145PM,,X,218B,LAB
2019S,"ME  358LB",T,0330PM,0445PM,,X,218B,LAB
2019S,"ME  358LC",R,1230PM,0145PM,,M,103,LAB
2019S,"ME  361A",MWF,0900AM,0950AM,,E,329,LEC
2019S,"ME  361B",MWF,1000AM,1050AM,,C,316,LEC
2019S,"ME  401A",TBA,,,,,,LEC
2019S,"ME  401B",TBA,,,,N/A,N/A,LEC
2019S,"ME  424A",TR,0230PM,0420PM,,P,120,L/L
2019S,"ME  424B",TR,0230PM,0420PM,,C,315,L/L
2019S,"ME  424C",TR,0230PM,0420PM,,E,330,L/L
2019S,"ME  424X",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"ME  424X1",TR,0230PM,0420PM,,E,230,L/L
2019S,"ME  424X2",TR,0230PM,0420PM,,X,104,L/L
2019S,"ME  424X3",TR,0230PM,0420PM,,C,207,L/L
2019S,"ME  470A",M,1100AM,0150PM,,E,230,LAB
2019S,"ME  470B",M,0200PM,0450PM,,E,230,LAB
2019S,"ME  470C",W,1100AM,0150PM,,E,230,LAB
2019S,"ME  483A",TR,0500PM,0615PM,,E,330,LEC
2019S,"ME  491A",TR,0930AM,1045AM,,B,118,LEC
2019S,"ME  491B",TR,1100AM,1215PM,,B,118,LEC
2019S,"ME  504AR",M,0430PM,0700PM,AR,OFF,CLOSED,LEC
2019S,"ME  504CA",M,0430PM,0700PM,AR,OFF,CLOSED,LEC
2019S,"ME  511WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  512A",TR,1230PM,0145PM,,D,242,LEC
2019S,"ME  513WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  514CA",TBA,,,,N/A,N/A,LEC
2019S,"ME  515A",T,0630PM,0900PM,,BC,202,LEC
2019S,"ME  518A",W,0630PM,0900PM,,B,714,LEC
2019S,"ME  518B",T,0630PM,0900PM,,,,LEC
2019S,"ME  518WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  521A",T,0330PM,0600PM,,D,242,LEC
2019S,"ME  523A",M,0615PM,0845PM,,C,207,LEC
2019S,"ME  529A",W,0630PM,0900PM,,BC,304,LEC
2019S,"ME  530W1",TBA,,,,N/A,N/A,LEC
2019S,"ME  530WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  532A",T,0630PM,0900PM,,ABS,301,LEC
2019S,"ME  535A",R,0330PM,0600PM,,,,LEC
2019S,"ME  540WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  545A",M,0300PM,0530PM,,P,116,LEC
2019S,"ME  546A",T,0630PM,0900PM,,E,230,LEC
2019S,"ME  554A",M,0615PM,0845PM,,E,130,LEC
2019S,"ME  554WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  555WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  560A",M,0300PM,0530PM,,C,207,LEC
2019S,"ME  564A",M,0300PM,0530PM,,E,329,LEC
2019S,"ME  565A",F,0300PM,0530PM,,C,316,LEC
2019S,"ME  565A-U",F,0300PM,0530PM,,,,LEC
2019S,"ME  566A",M,0615PM,0845PM,,E,329,LEC
2019S,"ME  580WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  581A",F,0300PM,0530PM,,,,LEC
2019S,"ME  598A",M,0300PM,0530PM,,ABS,301,LEC
2019S,"ME  602WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  604A",R,0630PM,0900PM,,BC,221,LEC
2019S,"ME  610C",T,1230PM,0300PM,,,,LEC
2019S,"ME  621A",T,0630PM,0900PM,,C,315,LEC
2019S,"ME  623A",M,0615PM,0845PM,,BC,212,LEC
2019S,"ME  623WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  626WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  631A",R,0630PM,0900PM,,,,LEC
2019S,"ME  635A",M,0615PM,0845PM,,P,218,LEC
2019S,"ME  636A",W,0630PM,0900PM,,BC,203,LEC
2019S,"ME  636B",M,0300PM,0530PM,,BC,204,LEC
2019S,"ME  636WS",TBA,,,WS,OFF,WEB,LEC
2019S,"ME  641A",M,0300PM,0530PM,,E,229A,LEC
2019S,"ME  645A",W,0630PM,0900PM,,E,229,LEC
2019S,"ME  648A",W,0615PM,0845PM,,C,207,LEC
2019S,"ME  652A",R,0630PM,0900PM,,C,315,LEC
2019S,"ME  654A",W,0630PM,0900PM,,,,LEC
2019S,"ME  657A",T,0630PM,0900PM,,,,LEC
2019S,"ME  660A",M,0615PM,0845PM,,P,216,LEC
2019S,"ME  663A",W,0615PM,0845PM,,,,LEC
2019S,"ME  663AR",R,0430PM,0700PM,AR,OFF,CLOSED,LEC
2019S,"ME  663WS",TBA,,,,OFF,WEB,LEC
2019S,"ME  665A",T,0630PM,0900PM,,E,231,LEC
2019S,"ME  674A",W,0630PM,0900PM,,E,229A,LEC
2019S,"ME  675A",TBA,,,,N/A,N/A,LEC
2019S,"ME  691A",W,0630PM,0900PM,,P,218,LEC
2019S,"ME  700A",R,0100PM,0250PM,,,,SEM
2019S,"ME  701A",TBA,,,,OFF,TBA,PRA
2019S,"ME  702A",TBA,,,,OFF,TBA,LEC
2019S,"ME  800A",TBA,,,,N/A,N/A,LEC
2019S,"ME  800B",TBA,,,,N/A,N/A,LEC
2019S,"ME  800C",TBA,,,,N/A,N/A,LEC
2019S,"ME  800D",TBA,,,,N/A,N/A,LEC
2019S,"ME  800E",TBA,,,,N/A,N/A,LEC
2019S,"ME  800F",TBA,,,,N/A,N/A,LEC
2019S,"ME  800G",TBA,,,,N/A,N/A,LEC
2019S,"ME  800H",TBA,,,,N/A,N/A,LEC
2019S,"ME  801A",TBA,,,,N/A,N/A,LEC
2019S,"ME  802A",TBA,,,,N/A,N/A,LEC
2019S,"ME  900A",TBA,,,,N/A,N/A,LEC
2019S,"ME  900B",TBA,,,,N/A,N/A,LEC
2019S,"ME  900C",TBA,,,,N/A,N/A,LEC
2019S,"ME  900D",TBA,,,,N/A,N/A,LEC
2019S,"ME  950A",TBA,,,,N/A,N/A,LEC
2019S,"ME  960A",TBA,,,,N/A,N/A,LEC
2019S,"ME  960B",TBA,,,,N/A,N/A,LEC
2019S,"ME  960C",TBA,,,,N/A,N/A,LEC
2019S,"ME  960D",TBA,,,,N/A,N/A,LEC
2019S,"ME  960E",TBA,,,,N/A,N/A,LEC
2019S,"ME  960F",TBA,,,,N/A,N/A,LEC
2019S,"ME  960G",TBA,,,,N/A,N/A,LEC
2019S,"ME  960H",TBA,,,,N/A,N/A,LEC
2019S,"ME  960I",TBA,,,,N/A,N/A,LEC
2019S,"ME  960J",TBA,,,,N/A,N/A,LEC
2019S,"ME  960K",TBA,,,,N/A,N/A,LEC
2019S,"ME  960L",TBA,,,,N/A,N/A,LEC
2019S,"ME  960M",TBA,,,,N/A,N/A,LEC
2019S,"ME  960N",TBA,,,,N/A,N/A,LEC
2019S,"ME  960O",TBA,,,,N/A,N/A,LEC
2019S,"MGT 103A",F,1000AM,1150AM,,BC,310,LEC
2019S,"MGT 103B",F,1000AM,1150AM,,E,330,LEC
2019S,"MGT 103C",F,1000AM,1150AM,,E,329,LEC
2019S,"MGT 103D",F,1000AM,1150AM,,X,414,LEC
2019S,"MGT 103E",F,1000AM,1150AM,,M,205,LEC
2019S,"MGT 103F",F,1000AM,1150AM,,BC,220,LEC
2019S,"MGT 103G",F,1000AM,1150AM,,BC,304,LEC
2019S,"MGT 103H",F,1000AM,1150AM,,BC,210,LEC
2019S,"MGT 103I",F,1200PM,0150PM,,E,329,LEC
2019S,"MGT 103J",F,1200PM,0150PM,,X,414,LEC
2019S,"MGT 103K",F,1200PM,0150PM,,M,205,LEC
2019S,"MGT 103L",F,1200PM,0150PM,,BC,304,LEC
2019S,"MGT 103M",F,1200PM,0150PM,,E,330,LEC
2019S,"MGT 103N",F,1200PM,0150PM,,BC,220,LEC
2019S,"MGT 103O",F,1200PM,0150PM,,BC,210,LEC
2019S,"MGT 103P",F,1200PM,0150PM,,BC,310,LEC
2019S,"MGT 103Q",F,1200PM,0150PM,,BC,219,LEC
2019S,"MGT 103R",F,1200PM,0150PM,,BC,203,LEC
2019S,"MGT 103S",F,1200PM,0150PM,,B,514,LEC
2019S,"MGT 103T",F,1200PM,0150PM,,BC,221,LEC
2019S,"MGT 103U",F,1000AM,1150AM,,BC,219,LEC
2019S,"MGT 103V",F,1000AM,1150AM,,BC,221,LEC
2019S,"MGT 197A",TBA,,,,N/A,N/A,PRA
2019S,"MGT 198A",TBA,,,,N/A,N/A,PRA
2019S,"MGT 199A",TBA,,,,N/A,N/A,QUZ
2019S,"MGT 546A",M,0300PM,0530PM,,BC,221,LEC
2019S,"MGT 606A",R,0630PM,0900PM,,M,105,LEC
2019S,"MGT 606NT",T,0520PM,0810PM,NT,OFF,CLOSED,LEC
2019S,"MGT 606WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 609A",W,0630PM,0900PM,,X,105,LEC
2019S,"MGT 609B",T,0630PM,0900PM,,X,218B,LEC
2019S,"MGT 609CU",TBA,,,CU,OFF,CLOSED,LEC
2019S,"MGT 609WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 610ZA",R,0420PM,0705PM,AC,OFF,CLOSED,LEC
2019S,"MGT 611A",M,0300PM,0530PM,,BC,320,LEC
2019S,"MGT 611WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 612A",T,0630PM,0900PM,,BC,320,LEC
2019S,"MGT 612B",R,0630PM,0900PM,,,,LEC
2019S,"MGT 612WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 614WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 616A",M,0615PM,0845PM,,X,106,LEC
2019S,"MGT 619A",R,0630PM,0900PM,,X,105,LEC
2019S,"MGT 620A",T,0630PM,0900PM,,,,LEC
2019S,"MGT 620WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 630A",R,0630PM,0900PM,,E,329,LEC
2019S,"MGT 635A",W,0630PM,0900PM,,X,218A,LEC
2019S,"MGT 641A",M,0615PM,0845PM,,BC,221,LEC
2019S,"MGT 641CU",TBA,,,CU,OFF,CLOSED,LEC
2019S,"MGT 641WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 641WZ",W,0530PM,0815PM,WZ,OFF,CLOSED,LEC
2019S,"MGT 657A",W,0630PM,0900PM,,,,LEC
2019S,"MGT 657WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 663A",M,0615PM,0845PM,,BC,320,LEC
2019S,"MGT 671A",R,0630PM,0900PM,,X,218B,LEC
2019S,"MGT 689A",T,0330PM,0600PM,,A,501,LEC
2019S,"MGT 689B",R,0630PM,0900PM,,BC,304,LEC
2019S,"MGT 689CU",TBA,,,CU,OFF,CLOSED,LEC
2019S,"MGT 689WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 699A",T,0630PM,0900PM,,BC,319,LEC
2019S,"MGT 699CU",TBA,,,CU,OFF,CLOSED,LEC
2019S,"MGT 699WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MGT 702A",TBA,,,,OFF,TBA,PRA
2019S,"MGT 798A",W,0630PM,0900PM,,A,501,LEC
2019S,"MGT 798W0",TBA,,,W0,OFF,WEB,LEC
2019S,"MGT 801A",TBA,,,,N/A,N/A,LEC
2019S,"MGT 804A",TBA,,,,N/A,N/A,QUZ
2019S,"MGT 810A",TBA,,,,N/A,N/A,LEC
2019S,"MGT 810B",TBA,,,,N/A,N/A,LEC
2019S,"MGT 810C",TBA,,,,N/A,N/A,LEC
2019S,"MGT 897A",TBA,,,,N/A,N/A,LEC
2019S,"MGT 898A",TBA,,,,N/A,N/A,QUZ
2019S,"MGT 899A",TBA,,,,N/A,N/A,QUZ
2019S,"MGT 900A",TBA,,,,N/A,N/A,LEC
2019S,"MIS 460A",TR,0500PM,0615PM,,BC,321,LEC
2019S,"MIS 620A",M,0615PM,0845PM,,BC,104,LEC
2019S,"MIS 620WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MIS 630A",M,0300PM,0530PM,,B,715,LEC
2019S,"MIS 630NT",W,0520PM,0810PM,NT,OFF,CLOSED,LEC
2019S,"MIS 630WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MIS 635A",M,0615PM,0845PM,,,,LEC
2019S,"MIS 636A",R,0630PM,0900PM,,BC,320,LEC
2019S,"MIS 636B",W,1200PM,0230PM,,BC,304,LEC
2019S,"MIS 636C",R,0330PM,0600PM,,,,LEC
2019S,"MIS 636WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MIS 637A",W,1200PM,0230PM,,B,430,LEC
2019S,"MIS 637B",W,0630PM,0900PM,,BC,104,LEC
2019S,"MIS 699A",W,0630PM,0900PM,,B,430,LEC
2019S,"MIS 699WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MIS 702A",TBA,,,,OFF,TBA,PRA
2019S,"MIS 702B",TBA,,,,N/A,N/A,PRA
2019S,"MIS 710A",T,0330PM,0600PM,,C,316,LEC
2019S,"MIS 710B",T,0630PM,0900PM,,B,118,LEC
2019S,"MIS 710CU",TBA,,,CU,OFF,CLOSED,LEC
2019S,"MIS 710WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MIS 714A",T,0630PM,0900PM,,,,LEC
2019S,"MIS 714W0",TBA,,,W0,,,LEC
2019S,"MIS 730A",R,0630PM,0900PM,,BC,219,LEC
2019S,"MIS 730B",W,0630PM,0900PM,,BC,319,LEC
2019S,"MIS 730WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MIS 760A",M,0615PM,0845PM,,BC,321,LEC
2019S,"MIS 760B",M,0300PM,0530PM,,BC,321,LEC
2019S,"MIS 760WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MIS 800A",TBA,,,,N/A,N/A,LEC
2019S,"MIS 900A",TBA,,,,N/A,N/A,LEC
2019S,"MT  501A",TR,0200PM,0315PM,,,,LEC
2019S,"MT  503A",TR,0500PM,0615PM,,B,715,LEC
2019S,"MT  507WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MT  515WS",TBA,,,,OFF,WEB,LEC
2019S,"MT  516A",M,0615PM,0845PM,,B,430,LEC
2019S,"MT  518A",W,0630PM,0900PM,,B,714,LEC
2019S,"MT  518B",T,0630PM,0900PM,,,,LEC
2019S,"MT  518WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MT  525A",T,0330PM,0445PM,,X,120,LEC
2019S,"MT  525A",R,0330PM,0445PM,,X,120,LEC
2019S,"MT  544A",M,0100PM,0330PM,,,,LEC
2019S,"MT  561WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MT  562WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MT  570A",W,0900AM,1130AM,,,,LEC
2019S,"MT  581A",M,0300PM,0530PM,,,,LEC
2019S,"MT  596A",R,1230PM,0300PM,,,,LEC
2019S,"MT  601A",M,0100PM,0330PM,,X,119,LEC
2019S,"MT  602A",T,1230PM,0300PM,,D,242,LEC
2019S,"MT  665A",M,0300PM,0530PM,,B,714,LEC
2019S,"MT  685WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MT  690WS",TBA,,,WS,OFF,WEB,LEC
2019S,"MT  700A",F,1100AM,1150AM,,E,230,SEM
2019S,"MT  700B",F,1100AM,1250PM,,,,SEM
2019S,"MT  707A",TBA,,,,OFF,TBA,LEC
2019S,"MT  800A",TBA,,,,N/A,N/A,LEC
2019S,"MT  801A",TBA,,,,N/A,N/A,LEC
2019S,"MT  900A",TBA,,,,N/A,N/A,LEC
2019S,"MT  960A",TBA,,,,N/A,N/A,LEC
2019S,"MT  960B",TBA,,,,N/A,N/A,LEC
2019S,NANO200A,T,0330PM,0600PM,,BC,304,LEC
2019S,NANO503A,TR,0500PM,0615PM,,B,715,LEC
2019S,NANO525A,T,0330PM,0445PM,,X,120,LEC
2019S,NANO525A,R,0330PM,0445PM,,X,120,LEC
2019S,NANO700A,W,1100AM,1150AM,,,,SEM
2019S,"NE  322A",R,0230PM,0420PM,,D,231,L/L
2019S,"NE  424A",T,0230PM,0420PM,,D,231,L/L
2019S,"NE  424A",R,0230PM,0420PM,,N/A,N/A,L/L
2019S,"NE  424X4",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"NE  499A",F,1000AM,1150AM,,BC,212,LEC
2019S,"NE  499B",TBA,,,,N/A,N/A,LEC
2019S,"NE  499C",TBA,,,,N/A,N/A,LEC
2019S,"NIS 505A",T,0630PM,0900PM,,BC,321,LEC
2019S,"NIS 505W0",TBA,,,W0,,,LEC
2019S,"NIS 545A",R,0630PM,0900PM,,BC,310,LEC
2019S,"NIS 583WS",TBA,,,WS,OFF,WEB,LEC
2019S,"NIS 584WS",TBA,,,WS,OFF,WEB,LEC
2019S,"NIS 592WS",TBA,,,WS,OFF,WEB,LEC
2019S,"NIS 593A",F,1200PM,0230PM,,X,106,LEC
2019S,"NIS 593B",F,0300PM,0530PM,,BC,319,LEC
2019S,"NIS 599A",TBA,,,,OFF,TBA,PRA
2019S,"NIS 599B",TBA,,,,OFF,TBA,PRA
2019S,"NIS 602A",R,0330PM,0600PM,,B,514,LEC
2019S,"NIS 604WS",TBA,,,WS,OFF,WEB,LEC
2019S,"NIS 605A",F,1200PM,0230PM,,E,130,LEC
2019S,"NIS 608A",R,1230PM,0300PM,,X,119,LEC
2019S,"NIS 609A",T,0330PM,0600PM,,E,111,LEC
