2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"CAL 498N",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498O",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498P",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498Q",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498R",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498S",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498T",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498U",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498V",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498W",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498X",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498Y",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498Z",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499A",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499B",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499C",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499D",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499E",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499F",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499G",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499H",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499I",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499J",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499K",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499L",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499M",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499N",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499O",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499P",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499Q",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499R",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499S",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499T",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499U",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499V",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499W",M,0900AM,1130AM,,K,390,LEC
2019S,"CAL 499X",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499Y",TBA,,,,N/A,N/A,LEC
2019S,"CAL 499Z",TBA,,,,N/A,N/A,LEC
2019S,"CAL 570A",T,0330PM,0600PM,,,,LEC
2019S,"CAL 900A",TBA,,,,N/A,N/A,LEC
2019S,"CE  240A",F,0200PM,0350PM,,P,120,LEC
2019S,"CE  240RA",M,0200PM,0250PM,,BC,122,RCT
2019S,"CE  304A",TR,1100AM,1150AM,,BC,319,LEC
2019S,"CE  304RA",M,1100AM,1150AM,,B,430,RCT
